expname,mode,lA_t0,lB_t0,Dl_t0,lA_t1,lB_t1,Dl_t1,lA_t2,lB_t2,Dl_t2,lA_t3,lB_t3,Dl_t3,lA_t4,lB_t4,Dl_t4,median_Dl,threshold,detected
exp0_baseline,shaper,0.5000,0.5000,0.0000,0.5000,0.5000,0.0000,0.5000,0.5000,0.0000,0.5000,0.5000,0.0000,0.5000,0.5000,0.0000,0.0000,0.20,False
exp1_shaper,shaper,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.20,True
exp2_compressor,compressor,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.20,True
exp3_spq,spq,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.20,True
exp4_shaper_comp,compressor,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.0000,0.20,False
exp5_shaper_spq,spq,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.0000,0.9900,0.9900,0.20,True
exp6_comp_spq,spq,0.5080,0.5100,-0.0020,0.5080,0.5140,-0.0060,0.5020,0.5080,-0.0060,0.5080,0.5180,-0.0100,0.5080,0.5150,-0.0070,-0.0060,0.20,False
exp7_three_chain,spq,0.5080,0.7100,-0.2020,0.5180,0.6710,-0.1530,0.5170,0.5180,-0.0010,0.5070,0.6500,-0.1430,0.5090,0.7080,-0.1990,-0.1530,0.20,False
exp_ttl_shaper,shaper,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.20,True
exp_ttl_compressor,compressor,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.0000,0.5010,0.5010,0.20,True
